Departamento,Municipio,Año,Área Cosechada,Área Sembrada,Producción,Rendimiento,Precipitación acumulada anual (mm/año),Temperatura media anual (°C),Máximo de la temperatura media mensual (°C),Mínimo de la temperatura media mensual (°C),Humedad relativa media anual (%),Radiación solar acumulada anual (MJ/m²/año),Humedad volumétrica media anual del suelo capa 1 (m³/m³),Humedad volumétrica media anual del suelo capa 2 (m³/m³),Evaporación potencial acumulada anual (mm/año),altitud_media_m
CESAR,AGUACHICA,2022,888.49,1018.08,752.62,0.8470776260847055,3500.472710120678,26.011847,29.051373,24.785065,82.995094,6747.6840316,0.43002954,0.43727645,1893.611792755127,296.0405897148262
CESAR,AGUACHICA,2020,868.0,966.0,921.0,1.0610599078341014,3109.8708365261555,27.045616,31.468414,25.242731,79.214424,7097.5708584,0.41495642,0.42515615,2137.098217391968,296.0405897148262
CESAR,AGUACHICA,2015,986.33,1103.13,823.653,0.8350683848204962,2993.458252763748,26.830605,28.389801,25.575201,82.52042,6973.3764536,0.43243077,0.4411199,1965.0242434501647,296.0405897148262
CESAR,AGUACHICA,2016,932.892,1064.3,805.671,0.8636273009094301,2877.767207288742,27.356054,32.251274,25.16817,78.84135,6847.2623754,0.41430768,0.41890463,2102.785322713852,296.0405897148262
CESAR,AGUACHICA,2014,1037.36,1206.91,831.177,0.8012425773116373,3149.397439074516,26.61,29.532917,25.12569,82.106346,6900.8309418,0.4287102,0.432385,1951.7589918613437,296.0405897148262
SANTANDER,AGUADA,2012,38.0,61.9,30.4,0.7999999999999999,2550.1273171901703,17.532156,17.983795,16.973541,92.689606,6733.25437,0.4220047,0.41712698,3056.127637386322,1749.7947946792008
SANTANDER,AGUADA,2011,46.0,74.0,13.8,0.3,3048.8603303432465,17.160532,17.721832,16.401764,93.620544,6317.118117,0.42620978,0.42220178,2765.19842672348,1749.7947946792008
SANTANDER,AGUADA,2010,58.5,68.26,18.7689,0.3208358974358974,3476.392429471016,17.684458,19.519684,16.159576,93.428986,6323.71601,0.41574225,0.40991592,2823.462309360504,1749.7947946792008
SANTANDER,AGUADA,2023,104.09,116.38,83.03,0.797675088865405,1778.9598908424375,19.265146,20.05069,18.311676,87.10192,6823.749878,0.37846375,0.36980566,3860.056170463562,1749.7947946792008
SANTANDER,AGUADA,2017,90.05,99.49,151.765,1.685341476957246,2179.5742040872574,18.208853,19.078033,17.478424,88.94861,6935.420802000001,0.4027697,0.39981842,3570.723970890045,1749.7947946792008
SANTANDER,AGUADA,2008,34.0,51.25,21.0,0.6176470588235294,2541.023040294647,16.98652,17.284576,16.477448,93.59573,6540.312248,0.423247,0.41616312,2848.7175827026367,1749.7947946792008
