Año,Departamento,Municipio,Producto,Área Cosechada,Área Sembrada,Producción,Rendimiento,Ciclo
2014,ANTIOQUIA,ABRIAQUI,CAFE,110.55,124.71,67.3165,0.6089235639981909,PERMANENTE
2012,META,ACACIAS,CAFE,25,70,18.75,0.75,PERMANENTE
2011,META,ACACIAS,CAFE,25,30,31.25,1.25,PERMANENTE
2010,META,ACACIAS,CAFE,5,25,6.5,1.3,PERMANENTE
2009,META,ACACIAS,CAFE,5,5,5,1,PERMANENTE
2007,META,ACACIAS,CAFE,5,5,4,0.8,PERMANENTE
2022,META,ACACIAS,CAFE,58.38,69.99,50.02,0.8568002740664611,PERMANENTE
2008,META,ACACIAS,CAFE,5,5,5,1,PERMANENTE
2018,META,ACACIAS,CAFE,0,0.74,0,0,PERMANENTE
2023,META,ACACIAS,CAFE,60.49,76.18,43.91,0.7259051082823607,PERMANENTE
2021,META,ACACIAS,CAFE,54.08,61.92,57.87,1.0700813609467454,PERMANENTE
2024,META,ACACIAS,CAFE,70.1,87.15,63.33,0.9034236804564908,PERMANENTE
2019,META,ACACIAS,CAFE,59,63,70,1.1864406779661016,PERMANENTE
2020,META,ACACIAS,CAFE,63,63,74.97,1.19,PERMANENTE
2012,HUILA,ACEVEDO,CAFE,7842.64,13858.3,8626.9,1.099999489967664,PERMANENTE
2011,HUILA,ACEVEDO,CAFE,7604.9,12696.8,8517.49,1.1200002629883365,PERMANENTE
2010,HUILA,ACEVEDO,CAFE,8706.29,11403.8,10447.5,1.1999944867446408,PERMANENTE
2013,HUILA,ACEVEDO,CAFE,12535.8,15868.2,12289.1,0.9803203624818521,PERMANENTE
2023,HUILA,ACEVEDO,CAFE,11531.9,14184.6,13208.9,1.1454226970403836,PERMANENTE
2024,HUILA,ACEVEDO,CAFE,11031.8,14319.1,15702.5,1.4233851230080314,PERMANENTE
2009,HUILA,ACEVEDO,CAFE,8286.03,9554.37,9943.24,1.2000004827402264,PERMANENTE
2018,HUILA,ACEVEDO,CAFE,11841.9,14348.4,13472.3,1.137680608686106,PERMANENTE
2020,HUILA,ACEVEDO,CAFE,13465.8,15465.8,20198.7,1.5000000000000002,PERMANENTE
2007,HUILA,ACEVEDO,CAFE,8378.98,8837.25,12149.5,1.4499974937283537,PERMANENTE
2008,HUILA,ACEVEDO,CAFE,8548.1,9335.41,12822.2,1.5000058492530504,PERMANENTE
2022,HUILA,ACEVEDO,CAFE,11188.6,13828.7,14762.1,1.319387590940779,PERMANENTE
2017,HUILA,ACEVEDO,CAFE,11913.2,14376.7,13251.3,1.1123207870261558,PERMANENTE
2019,HUILA,ACEVEDO,CAFE,10700.4,13985.8,15301.5,1.4299932712795784,PERMANENTE
2021,HUILA,ACEVEDO,CAFE,10882.3,13672.3,15561.8,1.430010200049622,PERMANENTE
2014,HUILA,ACEVEDO,CAFE,12921.5,15552.1,13697,1.0600162519831289,PERMANENTE
2015,HUILA,ACEVEDO,CAFE,12363.7,15064,14263.9,1.1536918559978,PERMANENTE
2016,HUILA,ACEVEDO,CAFE,11774.5,14633.9,14048.6,1.193137712854049,PERMANENTE
2010,HUILA,AGRADO,CAFE,792.37,976.85,934.997,1.1800005048146698,PERMANENTE
2013,HUILA,AGRADO,CAFE,952.74,1224.45,933.992,0.9803220185989882,PERMANENTE
2012,HUILA,AGRADO,CAFE,672.05,1114.4,672.05,1,PERMANENTE
2011,HUILA,AGRADO,CAFE,716.6,1037,802.592,1.1199999999999999,PERMANENTE
2023,HUILA,AGRADO,CAFE,1042.12,1327.43,1192.25,1.1440621041722643,PERMANENTE
2024,HUILA,AGRADO,CAFE,1068.76,1408.83,1508.03,1.4110090197986451,PERMANENTE
2017,HUILA,AGRADO,CAFE,1108.7,1316.5,1214.55,1.0954721746189229,PERMANENTE
2009,HUILA,AGRADO,CAFE,749.65,879.99,899.58,1.2000000000000002,PERMANENTE
2018,HUILA,AGRADO,CAFE,1098.93,1331.96,1231.29,1.1204444323114302,PERMANENTE
