Precipitación acumulada anual (mm/año),Temperatura media anual (°C),Máximo de la temperatura media mensual (°C),Mínimo de la temperatura media mensual (°C),Humedad relativa media anual (%),Radiación solar acumulada anual (MJ/m²/año),altitud_media_m,SPI1_floracion,SPI1_llenado,Rendimiento_lag1,Departamento,Municipio,Año,Rendimiento
2821.9631877475317,11.024159,11.443729,10.603071,89.347145,6461.453127333333,2982.025502813148,-0.6882615027154767,0.3096805054184305,1.4,NARINO,PASTO,2009,1.42
2872.218446652095,11.191222,12.370649,10.283275,89.36231,6450.213635111111,2982.025502813148,-0.53453007185754,0.6328182644824022,1.42,NARINO,PASTO,2010,1.5
3288.948490407732,10.611433,10.846832,10.206859,90.58194,6186.701674666667,2982.025502813148,-0.3895620902467562,1.9123854915978744,1.5,NARINO,PASTO,2011,1.2
2993.671149028672,10.650645,11.008968,10.265913,88.95733,6421.888432222222,2982.025502813148,-1.0446949547424378,-0.0426019757937437,1.2,NARINO,PASTO,2012,1.2
2766.9986409876083,10.98429,11.790056,10.068078,88.73113,6349.214023777778,2982.025502813148,-0.7835936072024221,-0.1561668766471839,1.2,NARINO,PASTO,2013,0.7640053171603042
2907.601383447647,10.916051,11.324805,10.320764,89.14374,6241.817593000001,2982.025502813148,-0.7967949736386449,0.3367324427447375,0.7640053171603042,NARINO,PASTO,2014,0.8261118315660996
2640.8265747030573,11.240178,11.804325,10.591814,86.84969,6388.498512222222,2982.025502813148,-1.6369314728415616,-1.512856895867972,0.8261118315660996,NARINO,PASTO,2015,1.0439449064449065
3149.1836753023995,11.453065,12.433665,10.367394,88.826546,6426.160819111111,2982.025502813148,-0.3502305707412059,1.3108212030078723,1.0439449064449065,NARINO,PASTO,2016,1.079646153081245
2992.013997607761,11.068733,11.475169,10.26038,89.004,6425.799041111111,2982.025502813148,-1.1467405822381695,0.1216645426912319,1.079646153081245,NARINO,PASTO,2017,0.8426705581904413
3089.888535433345,10.951767,11.440203,10.37537,88.56448,6313.634705555555,2982.025502813148,-0.9340051880400564,-0.691744359262974,0.8426705581904413,NARINO,PASTO,2018,0.8618840165690614
3005.562147392167,11.188961,11.771175,10.307526,88.54478,6410.600034888889,2982.025502813148,-0.7506125365281127,0.6538174061757533,0.8618840165690614,NARINO,PASTO,2019,1.111391765597373
2833.865894211663,11.116311,11.914242,10.407216,88.98923,6548.506822666667,2982.025502813148,-0.8072758340688658,1.1267446967131605,1.111391765597373,NARINO,PASTO,2020,0.6
3612.16510131624,10.67719,11.257856,10.018762,90.946495,6129.902796333334,2982.025502813148,0.255772058227672,1.0484287250145123,0.6,NARINO,PASTO,2021,1.4499881287521623
3022.588016351064,10.476502,10.828359,9.977122,90.59644,6289.075163888889,2982.025502813148,-0.8076990504280284,-0.1318558205684211,1.4499881287521623,NARINO,PASTO,2022,1.3650743099787683
3135.846967379252,10.938233,11.55758,10.10638,89.70236,6105.028709555555,2982.025502813148,-0.7744215727293846,0.7984879747855927,1.3650743099787683,NARINO,PASTO,2023,1.4959990855052585
2677.4784595171614,11.330074,12.098378,10.175446,88.351776,6520.215023777778,2982.025502813148,-1.2644947409214249,0.9054231787986295,1.4959990855052585,NARINO,PASTO,2024,1.8565934065934069
3494.281856086519,10.669284,11.200619,9.929677,90.969734,5954.398709111111,2982.025502813148,-0.014846328574999,-1.413318519978649,,NARINO,PASTO,2025,
5943.130578041077,20.28929,20.92569,19.208323,93.75238,5806.324764999999,1016.0347774668534,0.7771615266935603,0.4842543200790106,,NARINO,POLICARPA,2007,0.7
6079.720024426778,19.94263,20.232004,19.469717,93.987144,5664.163492333333,1016.0347774668534,0.7237834110047066,0.6018410195524607,0.7,NARINO,POLICARPA,2008,1.0
5529.021522839864,20.563818,21.022125,19.767242,93.52537,5850.9505,1016.0347774668534,-0.0641924498271078,1.2521986269634269,1.0,NARINO,POLICARPA,2009,0.2
6282.62407875061,20.509762,21.366526,19.294342,94.16394,5641.544624333334,1016.0347774668534,0.5969640402427241,1.6874793252587397,0.2,NARINO,POLICARPA,2010,0.4421052631578947
5658.609359423319,20.13357,20.673655,19.450592,93.89389,5630.601068333333,1016.0347774668534,1.4081273167719337,0.1931685649310592,0.4421052631578947,NARINO,POLICARPA,2011,1.0
5490.763906796773,20.414427,21.132883,19.698639,93.118904,5892.321565333334,1016.0347774668534,-0.217463490012387,0.0751784789228835,1.0,NARINO,POLICARPA,2012,0.75
5524.663050015767,20.441214,20.953928,19.976797,93.96695,5772.739667333333,1016.0347774668534,-0.0395838242441293,-0.3727975353434046,0.75,NARINO,POLICARPA,2013,0.5577254668792736
5781.065773646037,20.70656,21.905832,20.126211,92.79203,5889.874748,1016.0347774668534,0.0140952714589399,1.4320993926055428,0.5577254668792736,NARINO,POLICARPA,2014,0.6030620771449364
5246.772696812947,21.203848,21.938385,20.530588,92.1007,6148.792611333333,1016.0347774668534,0.6463943644941199,-0.271199076223651,0.6030620771449364,NARINO,POLICARPA,2015,0.8636455159623792
5405.303462982178,21.145811,21.852936,20.232574,92.08441,5942.884983999999,1016.0347774668534,0.1684275132039571,1.3387904101410542,0.8636455159623792,NARINO,POLICARPA,2016,0.8931828930477671
